acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.2497,-0.02814,-1.00207,0.06205,0.02332,0.13814
0.16487,0.13719,-1.00167,-0.0446,-0.05691,-0.08888
-0.31861,-0.02652,-0.99409,0.01298,-0.01222,-0.06215
0.19345,-0.01157,-0.99494,0.04059,0.0255,0.09187
-0.08994,0.09393,-0.99718,0.01534,0.00687,-0.12243
-0.14215,0.0573,-0.98964,-0.03951,0.03668,-0.04311
0.22801,0.00413,-1.01931,-0.005,-0.06033,-0.01647
-0.32302,-0.03545,-0.98832,0.0095,-0.01491,0.10408
0.10263,-0.00656,-1.00516,-0.01814,0.03091,0.04883
-0.00158,0.01979,-0.9992,0.00426,-0.00615,0.05443
-0.05477,0.03301,-0.99717,-0.00299,0.00573,0.00494
0.00329,-0.00084,-1.00081,0.00419,0.01139,0.00496
-0.00803,0.01273,-1.002,0.00532,0.00384,-0.00749
0.01234,-0.02338,-0.99323,0.01223,0.03707,0.01261
0.29671,0.04294,-0.9878,0.02316,-0.01975,0.1244
-0.00963,0.02752,-1.01657,0.0161,-0.13817,-0.07841
-0.25568,0.00611,-0.96145,0.01509,0.0364,-0.0214
0.23811,0.01477,-1.04596,0.00464,-0.0148,-0.03155
-0.28031,0.00431,-1.03888,-0.02327,-0.05149,0.05647
0.03574,0.0694,-1.00293,0.00873,0.02727,-0.00578
0.05395,-0.00369,-0.99977,-0.01564,0.00839,-0.02488
-0.23667,0.00034,-0.99305,0.00917,0.02288,-0.01595
0.20605,0.01322,-0.99925,0.01071,0.00876,0.02662
-0.10484,0.00954,-1.0045,0.00764,0.00063,0.01839
-0.01078,-0.0062,-1.00329,-0.00413,0.02182,0.05913
-0.00847,0.02637,-1.00401,0.0064,0.00225,0.03709
-0.03335,0.00439,-1.00087,0.00779,0.00891,0.01598
-0.01123,0.01127,-1.00177,0.00421,0.00843,0.00855
-0.13898,-0.38537,-0.97399,0.11437,-0.01571,1.08786
0.05504,-0.01533,-0.995,0.00553,0.03744,2.30283
0.04162,-0.02583,-1.03416,0.00716,0.01038,2.42423
0.04935,0.0094,-1.07171,-0.01683,-0.05629,2.49757
0.05818,-0.02944,-1.02985,0.01166,-0.04044,2.55535
0.06802,-0.03462,-1.0073,0.0421,-0.01653,2.60447
