X,Y
0.49465,0.99352
0.4967,0.99349
0.49874,0.99352
0.50075,0.99361
0.50269,0.99364
0.50629,0.99358
0.50788,0.99361
0.50939,0.99372
0.51086,0.99381
0.51234,0.99387
0.51375,0.99395
0.51513,0.99411
0.51651,0.99434
0.51788,0.99441
0.51916,0.9944
0.52043,0.99434
0.52164,0.99434
0.52279,0.99437
0.52383,0.99441
0.52481,0.9944
0.52572,0.99433
0.5266,0.99419
0.52744,0.9941
0.52823,0.99415
0.52892,0.99413
0.52951,0.99409
0.52994,0.99409
0.53035,0.99417
0.53067,0.99423
0.0,0.0
-1e-05,4e-05
0.0,2e-05
0.0,-0.0
1e-05,-1e-05
0.0,-0.0
0.0,0.0
-0.0,1e-05
-1e-05,-0.0
-1e-05,-2e-05
-1e-05,-3e-05
-1e-05,-4e-05
-1e-05,-3e-05
-0.0,-3e-05
0.0,-2e-05
-0.0,-1e-05
-1e-05,-1e-05
-1e-05,-1e-05
-1e-05,0.0
-0.0,-1e-05
-0.0,1e-05
1e-05,0.0
1e-05,1e-05
1e-05,3e-05
1e-05,5e-05
1e-05,4e-05
-1e-05,5e-05
1e-05,5e-05
0.0001,0.0001
0.00023,0.00011
0.00043,0.00012
0.00043,9e-05
0.00045,3e-05
0.00045,-2e-05
0.00042,-8e-05
0.0004,-8e-05
0.00041,1e-05
0.0004,5e-05
0.00038,2e-05
0.00035,5e-05
0.0003,0.00014
0.00031,0.00011
0.00038,0.00017
0.00046,0.00021
0.00056,0.00033
0.00055,0.00033
0.00055,0.00032
0.00055,0.00034
0.00055,0.00036
0.00055,0.00034
0.00054,0.00034
0.00054,0.00033
0.00054,0.00034
0.00054,0.00033
0.00054,0.00033
0.00054,0.00033
0.00054,0.00034
0.00054,0.00034
0.00054,0.00034
0.00054,0.00034
0.00054,0.00032
0.00054,0.00031
0.00054,0.00031
0.00055,0.00033
0.00055,0.00032
0.00056,0.00033
0.00057,0.00034
0.00057,0.00034
0.00058,0.00031
0.00058,0.00029
0.00056,0.00025
0.00056,0.00025
0.00055,0.00025
0.00054,0.00025
0.00053,0.00024
0.00053,0.00024
0.00053,0.00024
0.00054,0.00024
0.00054,0.00024
0.00054,0.00026
0.00054,0.00025
0.00055,0.00024
0.00055,0.00023
0.00055,0.00026
0.00054,0.00024
0.00054,0.00021
0.00054,0.00023
0.00054,0.00024
0.00054,0.00022
0.00055,0.00023
0.00056,0.00025
0.00057,0.00024
0.00057,0.00024
0.00058,0.00023
0.00058,0.00024
0.00056,0.00024
0.00067,0.00017
0.00121,0.00011
0.00244,0.0001
0.00446,9e-05
0.00726,0.00028
0.01074,0.00061
0.01494,0.00064
0.01978,0.00082
0.02501,0.0012
0.03075,0.00182
0.03656,0.00217
0.04226,0.00205
0.04758,0.00236
0.05259,0.00252
0.05704,0.00285
0.06096,0.00305
0.06716,0.00337
0.06943,0.00357
0.07137,0.00374
0.07314,0.00372
0.07473,0.00366
0.07625,0.00368
0.0778,0.00375
0.07947,0.00379
0.08131,0.00386
0.08347,0.00391
0.08607,0.00407
0.08903,0.00428
0.09225,0.00453
0.09588,0.0048
0.09972,0.00519
0.10372,0.00547
0.10795,0.00555
0.11213,0.00576
0.11624,0.00598
0.12039,0.00612
0.1244,0.00635
0.12823,0.0066
0.1319,0.0068
0.13526,0.00713
0.13836,0.00729
0.14126,0.00738
0.1439,0.00754
0.14636,0.00778
0.14876,0.00805
0.15372,0.00832
0.15618,0.00854
0.1587,0.00881
0.1614,0.00903
0.1614,0.00903
0.16717,0.0094
0.17011,0.00951
0.17333,0.0096
0.17682,0.00968
0.18031,0.00987
0.1838,0.00998
0.18745,0.01006
0.19105,0.01015
0.19465,0.0101
0.19831,0.01005
0.20184,0.01012
0.20524,0.01027
0.20872,0.01042
0.21211,0.01056
0.21529,0.01067
0.21839,0.01066
0.22147,0.0107
0.22445,0.01089
0.2273,0.01118
0.23012,0.01138
0.23289,0.01153
0.23822,0.01171
0.24106,0.01171
0.24401,0.01187
0.24696,0.01211
0.25,0.01235
0.25318,0.01245
0.25648,0.0126
0.25979,0.01277
0.26324,0.01285
0.26678,0.01296
0.27026,0.01315
0.27375,0.01339
0.2773,0.01365
0.28067,0.01393
0.28388,0.01413
0.28713,0.01425
0.29026,0.01449
0.29327,0.01475
0.29626,0.015
0.29928,0.01525
0.30223,0.01561
0.30506,0.01582
0.30793,0.0159
0.31086,0.01599
0.31376,0.01622
0.31674,0.01642
0.31979,0.01659
0.32288,0.01683
0.32593,0.01704
0.32899,0.01717
0.33215,0.01727
0.33538,0.0174
0.33862,0.01757
0.34198,0.0177
0.34535,0.01786
0.34863,0.01808
0.35196,0.01813
0.3552,0.018
0.3584,0.01795
0.36162,0.01796
0.36484,0.01802
0.36794,0.01814
0.37095,0.01829
0.37401,0.01837
0.37706,0.01834
0.38003,0.01849
0.38609,0.01872
0.38928,0.01879
0.39241,0.01897
0.39555,0.01901
0.39873,0.01912
0.40173,0.01934
0.40771,0.01967
0.41078,0.01989
0.41379,0.0201
0.41685,0.02028
0.42001,0.02037
0.42326,0.02055
0.42638,0.02076
0.42949,0.0209
0.4327,0.02102
0.43593,0.02121
0.43915,0.02137
0.44242,0.02156
0.44566,0.02172
0.44879,0.02193
0.45186,0.02198
0.45501,0.02205
0.46131,0.02259
0.46464,0.02281
0.46795,0.02296
0.47112,0.02313
0.47422,0.02329
0.47726,0.02347
0.48018,0.02359
0.48301,0.02378
0.48593,0.02395
0.4889,0.02408
0.49177,0.02424
0.49467,0.0244
0.49766,0.02457
0.50075,0.0247
0.50375,0.02468
0.50694,0.02451
0.51027,0.02446
0.51353,0.02462
0.51674,0.02485
0.51996,0.02502
0.52322,0.02515
0.52631,0.02529
0.52954,0.02546
0.53292,0.02569
0.53615,0.02598
0.53933,0.02623
0.54257,0.02641
0.5457,0.02657
0.55172,0.02673
0.55172,0.02673
0.55477,0.02679
0.56051,0.02707
0.56344,0.02726
0.56637,0.02742
0.56933,0.02753
0.57239,0.02763
0.57553,0.02779
0.57872,0.02799
0.58184,0.02819
0.58506,0.02837
0.58855,0.02839
0.59181,0.02846
0.59507,0.02851
0.59847,0.0286
0.60184,0.02874
0.60508,0.02893
0.60834,0.02916
0.61164,0.0294
0.61475,0.02964
0.61781,0.02978
0.62091,0.02988
0.62396,0.02999
0.62683,0.03003
0.62982,0.0301
0.63281,0.0303
0.63572,0.03051
0.63853,0.03073
0.64157,0.03087
0.64468,0.03084
0.6478,0.03106
0.65096,0.03129
0.65425,0.03154
0.65748,0.03172
0.66069,0.03185
0.66408,0.03208
0.66747,0.03219
0.67083,0.03229
