data
"acc_x:0.0, acc_y:0.0, acc_z:0.0, gyro_x:0.0, gyro_y:0.0, gyro_z:0.0"
"acc_x:0.15949, acc_y:0.05285, acc_z:-1.013, gyro_x:0.02602, gyro_y:0.02731, gyro_z:0.00474"
"acc_x:-0.18626, acc_y:-0.00829, acc_z:-1.00274, gyro_x:0.0095, gyro_y:-0.01048, gyro_z:-0.04727"
"acc_x:0.06347, acc_y:0.05092, acc_z:-1.00336, gyro_x:-0.02109, gyro_y:0.0071, gyro_z:-0.01911"
"acc_x:-0.06345, acc_y:-0.08471, acc_z:-0.99882, gyro_x:0.0042, gyro_y:0.01441, gyro_z:0.03056"
"acc_x:-0.02527, acc_y:0.00058, acc_z:-1.00218, gyro_x:0.0105, gyro_y:0.01104, gyro_z:0.00676"
"acc_x:-0.00552, acc_y:0.01466, acc_z:-1.00081, gyro_x:0.00217, gyro_y:0.01632, gyro_z:0.03251"
"acc_x:-0.0211, acc_y:0.00063, acc_z:-1.00407, gyro_x:-0.00689, gyro_y:0.01057, gyro_z:-0.01208"
"acc_x:0.201, acc_y:-0.0522, acc_z:-0.99339, gyro_x:0.02878, gyro_y:0.04257, gyro_z:0.1306"
"acc_x:0.24571, acc_y:0.00945, acc_z:-0.97637, gyro_x:0.01998, gyro_y:0.00906, gyro_z:0.01859"
"acc_x:-0.3736, acc_y:0.01131, acc_z:-0.98141, gyro_x:-0.00638, gyro_y:0.04198, gyro_z:-0.18119"
"acc_x:0.13488, acc_y:0.03694, acc_z:-1.00011, gyro_x:0.00779, gyro_y:0.07188, gyro_z:0.08513"
"acc_x:-0.01521, acc_y:0.03253, acc_z:-0.98806, gyro_x:-0.01542, gyro_y:0.02414, gyro_z:0.06632"
"acc_x:-0.29198, acc_y:0.00451, acc_z:-1.00099, gyro_x:0.00265, gyro_y:0.02896, gyro_z:0.00895"
"acc_x:0.27403, acc_y:0.01042, acc_z:-1.00435, gyro_x:0.04414, gyro_y:0.0163, gyro_z:0.03541"
"acc_x:-0.21103, acc_y:0.05791, acc_z:-1.01105, gyro_x:-0.0025, gyro_y:-0.03618, gyro_z:-0.03625"
"acc_x:-0.03367, acc_y:0.02024, acc_z:-0.99854, gyro_x:-0.00049, gyro_y:0.0161, gyro_z:-0.04204"
"acc_x:-0.0361, acc_y:0.02724, acc_z:-1.00014, gyro_x:0.00234, gyro_y:0.00771, gyro_z:-0.01932"
"acc_x:0.00592, acc_y:0.00959, acc_z:-1.00277, gyro_x:0.00654, gyro_y:0.0099, gyro_z:0.05027"
"acc_x:-0.03454, acc_y:0.01475, acc_z:-0.99715, gyro_x:0.00149, gyro_y:0.01421, gyro_z:0.01419"
"acc_x:0.26386, acc_y:0.04636, acc_z:-0.98623, gyro_x:-0.01861, gyro_y:0.02104, gyro_z:0.00545"
"acc_x:0.09505, acc_y:0.10643, acc_z:-1.04538, gyro_x:-0.03747, gyro_y:-0.14821, gyro_z:-0.02011"
"acc_x:-0.3121, acc_y:0.00296, acc_z:-1.02888, gyro_x:-0.07114, gyro_y:-0.03, gyro_z:-0.10327"
"acc_x:0.22582, acc_y:-0.00467, acc_z:-1.00423, gyro_x:0.03029, gyro_y:0.02805, gyro_z:0.14518"
"acc_x:-0.19948, acc_y:0.07433, acc_z:-1.02084, gyro_x:-0.01784, gyro_y:-0.07118, gyro_z:-0.07164"
"acc_x:-0.06212, acc_y:-0.00515, acc_z:-1.0045, gyro_x:0.00556, gyro_y:0.02134, gyro_z:-0.01774"
"acc_x:0.17968, acc_y:0.01089, acc_z:-1.02485, gyro_x:-0.02479, gyro_y:-0.02493, gyro_z:0.06552"
"acc_x:-0.30089, acc_y:-0.03313, acc_z:-0.97825, gyro_x:0.02062, gyro_y:-0.00652, gyro_z:0.00825"
"acc_x:0.08462, acc_y:0.10586, acc_z:-1.00513, gyro_x:-0.00446, gyro_y:0.0153, gyro_z:-0.04888"
"acc_x:-0.04757, acc_y:0.03263, acc_z:-1.00088, gyro_x:0.00501, gyro_y:0.02142, gyro_z:-0.04358"
"acc_x:-0.03087, acc_y:0.032, acc_z:-1.00073, gyro_x:-0.0012, gyro_y:0.01799, gyro_z:-0.00512"
"acc_x:-0.01112, acc_y:0.00812, acc_z:-1.0015, gyro_x:0.007, gyro_y:0.00264, gyro_z:0.00076"
"acc_x:-0.22026, acc_y:-0.60166, acc_z:-1.05455, gyro_x:-0.05101, gyro_y:0.00212, gyro_z:2.19692"
"acc_x:0.00707, acc_y:-0.00375, acc_z:-1.02097, gyro_x:-0.02448, gyro_y:-0.03405, gyro_z:2.28105"
"acc_x:0.03647, acc_y:0.00646, acc_z:-0.98613, gyro_x:-0.00765, gyro_y:-0.06532, gyro_z:2.44168"
"acc_x:0.07971, acc_y:-0.00191, acc_z:-0.97764, gyro_x:0.04715, gyro_y:-0.03088, gyro_z:2.46384"
"acc_x:0.08373, acc_y:-0.04526, acc_z:-0.94654, gyro_x:0.03351, gyro_y:-0.01496, gyro_z:2.55539"
"acc_x:0.07103, acc_y:0.00449, acc_z:-0.97093, gyro_x:0.04937, gyro_y:-0.0063, gyro_z:2.51975"
"acc_x:0.11259, acc_y:0.27358, acc_z:-1.01857, gyro_x:0.01213, gyro_y:0.02093, gyro_z:1.04679"
